NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Ecole de Danse Clothilde Kieffert - Danse,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,9.0,,,,RUE,DU,DOCTEUR LERAY,753000623.0,13.0,132.0,13211.0,6526391317.0,6858306913.0
Ecole de Musique de Paris Vincent Patrice,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,175.0,,,,RUE,DE,TOLBIAC,753000740.0,13.0,132.0,13211.0,6525142468.0,6858617516.0
Ecole Jean Perimony,75.0,Paris 17e Arrondissement,75117.0,75017.0,,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,Oui,22.0,,,,,,39.0,,,,RUE,,LANTIEZ,750000048.0,10.0,103.0,10315.0,6504561168.0,6866394425.0
Ecole Normale de Musique de Paris,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,114.0,b,,,BD,,MALESHERBES,753000770.0,13.0,132.0,13211.0,649326187.0,6865107561.0
Ecole Suprieure des Arts Modernes,75.0,Paris 17e Arrondissement,75117.0,75017.0,,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,Oui,22.0,,,,,,17.0,,,,RUE,,JACQUEMONT,751007660.0,10.0,103.0,10315.0,6503174339.0,6865508297.0
La Petite Acadmie,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,2.0,,,,SQ,,CLAUDE DEBUSSY,753000090.0,13.0,134.0,13413.0,6496901366.0,6865135725.0
L'Atelier des Epinettes,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,32.0,,,,RUE,,LANTIEZ,753000102.0,13.0,134.0,13413.0,650441392.0,6866339612.0
Latin Dance Fuzion - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,28.0,,,,RUE,,POUCHET,753000958.0,13.0,132.0,13211.0,6501210432.0,6866098807.0
Latin Dance Fuzion - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,28.0,,,,RUE,,POUCHET,753000958.0,13.0,132.0,13211.0,6501210432.0,6866098807.0
Le Kinnor,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,48.0,,,,RUE,,DAVY,753003410.0,13.0,132.0,13211.0,6503972777.0,6865948426.0
Les Enfants au Piano,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,118.0,,,,RUE,,CARDINET,753000246.0,13.0,132.0,13211.0,6495878212.0,6865345963.0
Mdiathque Municipale Edmond Rostand,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,1860.0,M,10264.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,RUE,,NICOLAS CHUQUET,752003389.0,13.0,131.0,13116.0,6488969501.0,686560123.0
Muse National Jean-Jacques Henner,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,Oui,MN MF,,,,,,,,,,,,,,,Oui,9896.0,,43.0,,,,AV,,VILLIERS,752003649.0,13.0,133.0,13311.0,6492306227.0,6865003024.0
Paris-Ateliers: site Bessires,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,65.0,,,,BD,,BESSIERES,752004355.0,13.0,134.0,13411.0,6502523472.0,6866558368.0
Paris-Ateliers: site Olympiades,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,44.0,,,,AV,,IVRY,752004340.0,13.0,134.0,13411.0,6534373946.0,6858342028.0
Salle Cortot,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,78.0,,,,RUE,,CARDINET,752004073.0,13.0,133.0,13313.0,6493452475.0,6865131282.0
Terre et Feu,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13.0,,,,115.0,,,,RUE,DES,DAMES,753000098.0,13.0,134.0,13413.0,649930608.0,6864960871.0
Thtre de la Jonquiere,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,88.0,,,,RUE,,JONQUIERE,752003826.0,13.0,133.0,13312.0,6500755561.0,6866297444.0
Thtre de l'Odon - Ateliers Berthier,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,Oui,Etablissement national,,,,,,,,,,1.0,,,,RUE,,ANDRE SUARES,753002081.0,13.0,133.0,13312.0,6495232825.0,6866201678.0
Thtre de l'Odon - Ateliers Berthier,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,Oui,Etablissement national,,,,,,,,,,1.0,,,,RUE,,ANDRE SUARES,753002081.0,13.0,133.0,13312.0,6495232825.0,6866201678.0
Thtre des Arts Hebertot,75.0,Paris 17e Arrondissement,75117.0,75017.0,2.0,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,78.0,b,,,BD,,BATIGNOLLES,752003822.0,13.0,133.0,13312.0,6500562716.0,6864881495.0
Thtre La Cachette,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,124.0,,,,AV,,ITALIE,752003797.0,13.0,133.0,13312.0,6528450367.0,6858380159.0
59 Rivoli,75.0,Paris 1er Arrondissement,75101.0,75001.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,59.0,,,,RUE,DE,RIVOLI,753002030.0,13.0,133.0,13313.0,6519920728.0,6862330715.0
A la Folie Thtre,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,6.0,,,,RUE,,FOLIE MERICOURT,752003768.0,13.0,133.0,13312.0,6541255739.0,686257081.0
ABC d'Airs,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,56.0,,,,BD,,VOLTAIRE,753000737.0,13.0,132.0,13211.0,6538777522.0,6862718475.0
Abricadabra Peniche Antipode,75.0,Paris 19e Arrondissement,75119.0,75019.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,69.0,,,,QU,,SEINE,752003858.0,13.0,133.0,13312.0,654337928.0,6865525238.0
Academia Cadix - Danse,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,2.0,,,,RUE,DE,CADIX,753000944.0,13.0,132.0,13211.0,6477668826.0,6859612258.0
Acadmie Americaine de Danse de Paris - Danse,75.0,Paris 6e Arrondissement,75106.0,75006.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,100.0,,,,RUE,DU,CHERCHE-MIDI,753000646.0,13.0,132.0,13211.0,6502410116.0,6861010504.0
Acadmie Chaptal - Danse,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,7.0,,,,RUE,,CHAPTAL,753001044.0,13.0,132.0,13211.0,6511664604.0,6864712028.0
Acadmie Charpentier Communication Visuelle et Architecture d'interieur,75.0,Paris 6e Arrondissement,75106.0,75006.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22.0,,,,,,2.0,,,,RUE,,JULES CHAPLAIN,750000013.0,10.0,103.0,10314.0,650902454.0,6860559736.0
Acadmie de Danse AMD - Danse,75.0,Paris 12e Arrondissement,75112.0,75012.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,107.0,,,,RUE,DE,REUILLY,753000616.0,13.0,132.0,13211.0,655407057.0,6860456261.0
Acadmie de Danse Montparnasse - Danse,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,92.0,,,,BD,DU,MONTPARNASSE,753000630.0,13.0,132.0,13211.0,6505984796.0,6860504454.0
Acadmie de Danse Poncelet - Danse,75.0,Paris 17e Arrondissement,75117.0,75017.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,19.0,,,,RUE,,PONCELET,753000953.0,13.0,132.0,13211.0,6484547504.0,6864588284.0
Acadmie de Musique,75.0,Paris 16e Arrondissement,75116.0,75016.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,3.0,,,,RUE,,VINEUSE,753000604.0,13.0,132.0,13211.0,6475058033.0,6862328312.0
Acadmie du 13 eme,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,13.0,,,,RUE,,GODEFROY,753000576.0,13.0,132.0,13211.0,6528393312.0,6859284293.0
Acadmie Grandes Terres,75.0,Paris 11e Arrondissement,75111.0,75011.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22.0,,,,,,5.0,,,,RUE,,CHARONNE,751007559.0,10.0,103.0,10315.0,6540676968.0,6861552543.0
Acadmie Pliaska - Danse,75.0,Paris 9e Arrondissement,75109.0,75009.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,79.0,,,,RUE,DE,DUNKERQUE,753001045.0,13.0,132.0,13211.0,6521032327.0,6864846368.0
Accordeon XIV,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,44.0,,,,RUE,DE LA,TOMBE ISSOIRE,753000745.0,13.0,132.0,13211.0,6511289642.0,685915492.0
ACP La Manufacture Chanson,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,Oui,11.0,,,,124.0,,,,AV,DE LA,REPUBLIQUE,753000669.0,13.0,132.0,13211.0,6549320366.0,6862727218.0
Agitakt,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,21.0,,,,AV,,MAINE,752003812.0,13.0,133.0,13312.0,6501481426.0,686059351.0
AIMP Acadmie du 11 eme,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,11.0,,,,RUE,,AMELOT,753000585.0,13.0,132.0,13211.0,653720503.0,6861883377.0
AIMP Acadmie du 11 eme Voltaire,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,16.0,,,,RUE,,GERBIER,753000586.0,13.0,132.0,13211.0,6549765393.0,6862235574.0
AIMP Acadmie du 12 eme,75.0,Paris 12e Arrondissement,75112.0,75012.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,8.0,,,,RUE,DE,WATTIGNIES,753001211.0,13.0,132.0,13211.0,6554175009.0,6859797438.0
AIMP Acadmie du 13 eme,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,8.0,,,,RUE,,ALBERT BAYET,753001212.0,13.0,132.0,13211.0,6529801285.0,6859093256.0
AIMP Acadmie du 14 eme,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,5.0,,,,RUE,,BOYER-BARRET,753000600.0,13.0,132.0,13211.0,6499136101.0,6859438146.0
AIMP Acadmie du 15 eme,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,85.0,,,,RUE,DE L',ABBE GROULT,753000602.0,13.0,132.0,13211.0,6484923561.0,6860060273.0
AIMP Acadmie du 15 eme Mistral,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,16.0,,,,VLA,,FREDERIC MISTRAL,753000601.0,13.0,132.0,13211.0,6476367101.0,6860021499.0
Air de Paris,75.0,Paris 13e Arrondissement,75113.0,75013.0,3.0,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,28.0,,,,RUE,,LOUISE WEISS,753001035.0,13.0,133.0,13321.0,6537598517.0,6859521195.0
Aire Falguire,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,55.0,,,,RUE,,PROCESSION,752003815.0,13.0,133.0,13312.0,6493359043.0,6859840208.0
Akteon Thtre,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,11.0,,,,RUE,,GENERAL BLAISE,752003770.0,13.0,133.0,13312.0,654379747.0,6862593406.0
Al Fajr - Danse,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,134.0,,,,RUE,,SAINT-MAUR,753000840.0,13.0,132.0,13211.0,6541649692.0,6863317252.0
Alambic Studio Thtre,75.0,Paris 18e Arrondissement,75118.0,75018.0,3.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,12.0,,,,RUE,,NEUVE DE LA CHARDONNIERE,752003840.0,13.0,133.0,13312.0,6522128191.0,6866327562.0
Alhambra,75.0,Paris 10e Arrondissement,75110.0,75010.0,2.0,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,21.0,,,,RUE,,YVES TOUDIC,753000286.0,13.0,133.0,13312.0,653279726.0,6863590089.0
Amana Studio - Danse,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,21.0,,,,RUE,,FROIDEVAUX,753000628.0,13.0,132.0,13211.0,6507384802.0,6859691871.0
American School of Modern Music,75.0,Paris 15e Arrondissement,75115.0,75015.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,117.0,,,,RUE,DE LA,CROIX NIVERT,753000579.0,13.0,132.0,13211.0,6481751038.0,6860460377.0
Antenne Broussais de la MPAA,75.0,Paris 14e Arrondissement,75114.0,75014.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,96.0,,,,RUE,,DIDOT,753002086.0,13.0,134.0,13419.0,6496927872.0,685883242.0
Antenne Saint-Blaise de la MPAA,75.0,Paris 20e Arrondissement,75120.0,75020.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14.0,,,,37.0,,,,RUE,,SAINT BLAISE,753002101.0,13.0,134.0,13419.0,6564531758.0,6862220179.0
Appassionato,75.0,Paris 11e Arrondissement,75111.0,75011.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11.0,,,,30.0,,,,RUE,,LEON FROT,753000670.0,13.0,132.0,13211.0,6550491898.0,6861832241.0
Applica-Prazan Rive Droite,75.0,Paris 8e Arrondissement,75108.0,75008.0,3.0,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,14.0,,,,AV,,MATIGNON,753001192.0,13.0,133.0,13321.0,649642276.0,6863628497.0
Applicat-Prazan Rive Gauche,75.0,Paris 6e Arrondissement,75106.0,75006.0,3.0,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,16.0,,,,RUE,DE,SEINE,753001371.0,13.0,133.0,13321.0,651319909.0,6861997394.0
Aquarium de la Porte Dore,75.0,Paris 12e Arrondissement,75112.0,75012.0,2.0,Non,,,,,,,,,,,,,MF,,,,,,,,,,,,,,,Oui,212497.0,,293.0,,,,AV,,DAUMESNIL,753001464.0,13.0,135.0,13511.0,6566612837.0,6859560308.0
